...1,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,view_history,trial,character_choice,stimulus_dict,accuracy,correct_response,ball_pos,ego_ball_visible,ego_can_infer,alter_ball_visible,alter_can_infer,collective_ball_visible,collective_can_infer,search_locations,alter_occluders,ego_occluders,accuracy_bool,feedback,age,ethnicity,gender,race,overall_accuracy,bonus,workerid
53,NA,NA,NA,NA,NA,survey-html-form,318,420756,0.0-293.0,49627,NA,"{""feedback"":""I just guessed on the trials where I couldn't see where the ball was, and then tried to imagine myself as Sam, and chose the one I felt was correct."",""age"":""29"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I just guessed on the trials where I couldn't see where the ball was, and then tried to imagine myself as Sam, and chose the one I felt was correct.",29,Non-Hispanic,Female,Asian,0.6597222222222222,0.6597222222222222,8fv0yzgrcr
54,NA,NA,NA,NA,NA,survey-html-form,318,641125,0.0-293.0,29673,NA,"{""feedback"":""no"",""age"":""50"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,50,Non-Hispanic,Female,Asian,0.5416666666666666,0.5416666666666666,8hay8dky6p
55,NA,NA,NA,NA,NA,survey-html-form,318,744612,0.0-293.0,110278,NA,"{""feedback"":""I guess he would pick middle or left when he had to guess. I lean towards more of middle bias."",""age"":""43"",""gender"":""Male"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I guess he would pick middle or left when he had to guess. I lean towards more of middle bias.,43,Non-Hispanic,Male,Asian,0.6597222222222222,0.6597222222222222,8kecudf4xd
56,NA,NA,NA,NA,NA,survey-html-form,318,358932,0.0-293.0,47056,NA,"{""feedback"":""Most of the time I tried to see if I knew where the ball was and then if Sam knew where the ball was and then I'd have to make a decision. It seemed like the center was a good bet if he had to guess but I wasn't completely sold on that."",""age"":""41"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time I tried to see if I knew where the ball was and then if Sam knew where the ball was and then I'd have to make a decision. It seemed like the center was a good bet if he had to guess but I wasn't completely sold on that.,41,Non-Hispanic,Male,White,0.625,0.625,8qdsbdk6bg
57,NA,NA,NA,NA,NA,survey-html-form,318,553782,0.0-293.0,42383,NA,"{""feedback"":""If it was clear by process of elimination I chose that one if I did not know I selected the middle option."",""age"":""50"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,If it was clear by process of elimination I chose that one if I did not know I selected the middle option.,50,Non-Hispanic,Female,White,0.6875,0.6875,8rmnkuu8bq
58,NA,NA,NA,NA,NA,survey-html-form,318,596755,0.0-293.0,19246,NA,"{""feedback"":"""",""age"":""35"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,Non-Hispanic,Male,White,0.5555555555555556,0.5555555555555556,8y5xbj8mts
59,NA,NA,NA,NA,NA,survey-html-form,318,580817,0.0-293.0,56553,NA,"{""feedback"":""Mostly what Sam was able to see, but then partially just based on what I could see as well if I still didn't know what to pick for Sam."",""age"":""38"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly what Sam was able to see, but then partially just based on what I could see as well if I still didn't know what to pick for Sam.",38,Non-Hispanic,Female,White,0.6875,0.6875,91p99hx9lc
60,NA,NA,NA,NA,NA,survey-html-form,318,626399,0.0-293.0,11613,NA,"{""feedback"":"""",""age"":""51"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,Non-Hispanic,Female,White,0.5555555555555556,0.5555555555555556,97agweyv33
61,NA,NA,NA,NA,NA,survey-html-form,318,413936,0.0-293.0,9606,NA,"{""feedback"":"""",""age"":""27"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Non-Hispanic,Female,White,0.6597222222222222,0.6597222222222222,97xnkvdffn
62,NA,NA,NA,NA,NA,survey-html-form,318,536541,0.0-293.0,43752,NA,"{""feedback"":""I could see the ones that he say, I don't really know the other factors other than maybe intuition"",""age"":""56"",""gender"":""Female"",""other_gender"":"""",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I could see the ones that he say, I don't really know the other factors other than maybe intuition",56,Non-Hispanic,Female,NA,0.6180555555555556,0.6180555555555556,9hbdduouz2
63,NA,NA,NA,NA,NA,survey-html-form,318,433639,0.0-293.0,55137,NA,"{""feedback"":""I used my intuition to guess which basket Sam would choose. Everything was clear and understood, thank you.  "",""age"":""38"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I used my intuition to guess which basket Sam would choose. Everything was clear and understood, thank you.",38,Non-Hispanic,Male,White,0.6319444444444444,0.6319444444444444,9qafy7xh8u
64,NA,NA,NA,NA,NA,survey-html-form,318,820319,0.0-293.0,76349,NA,"{""feedback"":""Sometimes the square selected did not respond to the arrow keys, it would choose an adjacent square."",""age"":""71"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes the square selected did not respond to the arrow keys, it would choose an adjacent square.",71,Non-Hispanic,Male,White,0.7013888888888888,0.7013888888888888,9r0n3dkdcy
65,NA,NA,NA,NA,NA,survey-html-form,318,586602,0.0-293.0,105622,NA,"{""feedback"":""Most of the time I just chose the spot the ball was in, and took a guess on the ones where the boxes were covered."",""age"":""69"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time I just chose the spot the ball was in, and took a guess on the ones where the boxes were covered.",69,Non-Hispanic,Female,Black/African American,0.6180555555555556,0.6180555555555556,9ynn7fnc6t
66,NA,NA,NA,NA,NA,survey-html-form,318,807100,0.0-293.0,73810,NA,"{""feedback"":""At first I assumed he would go for one on his right since most people are right handed. It became apparent, though, that he went left."",""age"":""61"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At first I assumed he would go for one on his right since most people are right handed. It became apparent, though, that he went left.",61,Non-Hispanic,Female,White,0.7361111111111112,0.7361111111111112,af80wh0eq8
67,NA,NA,NA,NA,NA,survey-html-form,318,1016661,0.0-293.0,89315,NA,"{""feedback"":""I figured that he had a preference for choosing the outsides when he couldn't see the ball and would usually start with my right then swap to the left side if it was two in a row that were obscured to him but sometimes he would inexplicably go for the middle"",""age"":""30"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I figured that he had a preference for choosing the outsides when he couldn't see the ball and would usually start with my right then swap to the left side if it was two in a row that were obscured to him but sometimes he would inexplicably go for the middle,30,Hispanic,Male,White,0.6597222222222222,0.6597222222222222,ag59yxepnc
68,NA,NA,NA,NA,NA,survey-html-form,318,2011071,0.0-293.0,36176,NA,"{""feedback"":""Whether or not he could see the ball on his end."",""age"":""25"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whether or not he could see the ball on his end.,25,Non-Hispanic,Female,Black/African American,0.6527777777777778,0.6527777777777778,agxmnmcnmu
69,NA,NA,NA,NA,NA,survey-html-form,318,439186,0.0-293.0,36701,NA,"{""feedback"":""I was influenced when I saw the ball but I don't think Sam always was. "",""age"":""57"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I was influenced when I saw the ball but I don't think Sam always was.,57,Non-Hispanic,Female,White,0.6666666666666666,0.6666666666666666,ayk4ahrzk0
70,NA,NA,NA,NA,NA,survey-html-form,318,471326,0.0-293.0,39838,NA,"{""feedback"":""If I couldn't see the ball, then I tended to go with the middle or to the right because those options tended to be pick more likely than the left option."",""age"":""32"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If I couldn't see the ball, then I tended to go with the middle or to the right because those options tended to be pick more likely than the left option.",32,Non-Hispanic,Male,White,0.6527777777777778,0.6527777777777778,blzfk7wvx1
71,NA,NA,NA,NA,NA,survey-html-form,318,870145,0.0-293.0,159916,NA,"{""feedback"":""It was easier to respond when I could see some, if not all of what Sam could see. Other times I tried to follow a pattern, based on which selection Sam seemed to make more often prior to a selection in which I wasn't able to determine what they would pick based on what I could see. I did make 1 error, believe the answer couldn't be what I chose. "",""age"":""51"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It was easier to respond when I could see some, if not all of what Sam could see. Other times I tried to follow a pattern, based on which selection Sam seemed to make more often prior to a selection in which I wasn't able to determine what they would pick based on what I could see. I did make 1 error, believe the answer couldn't be what I chose.",51,Non-Hispanic,Female,Black/African American,0.6180555555555556,0.6180555555555556,bm2acpufyj
72,NA,NA,NA,NA,NA,survey-html-form,318,638195,0.0-293.0,37488,NA,"{""feedback"":""It seemed to be in the middle more often than not in the beginning but then it seemed to switch."",""age"":""49"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It seemed to be in the middle more often than not in the beginning but then it seemed to switch.,49,Non-Hispanic,Female,White,0.5972222222222222,0.5972222222222222,bnqtczge31
73,NA,NA,NA,NA,NA,survey-html-form,318,1134766,0.0-293.0,265385,NA,"{""feedback"":""Whenever possible, I would rule out baskets based on whether he (and I) could see if they were empty. If I could see the baskets were and he couldn't, then it was mostly guessing. Sometimes it seemed to have a pattern or repeat same basket choices. so I assumed the same choice would repeat a couple times."",""age"":""40"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whenever possible, I would rule out baskets based on whether he (and I) could see if they were empty. If I could see the baskets were and he couldn't, then it was mostly guessing. Sometimes it seemed to have a pattern or repeat same basket choices. so I assumed the same choice would repeat a couple times.",40,Non-Hispanic,Male,White,0.6527777777777778,0.6527777777777778,bq7pjq64ew
74,NA,NA,NA,NA,NA,survey-html-form,318,350636,0.0-293.0,25804,NA,"{""feedback"":""I just determined whether he could see the ball or not. Otherwise I just had to guess. "",""age"":""35"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I just determined whether he could see the ball or not. Otherwise I just had to guess.,35,Non-Hispanic,Female,White,0.6736111111111112,0.6736111111111112,d067wozwnf
75,NA,NA,NA,NA,NA,survey-html-form,318,558400,0.0-293.0,58862,NA,"{""feedback"":""I was sometimes distracted by if I knew where the ball was \nIf he could see inside the basket\nIf my view and his view of the baskets were blocked\nA pattern of where he would usually look"",""age"":""26"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I was sometimes distracted by if I knew where the ball was 
If he could see inside the basket
If my view and his view of the baskets were blocked
A pattern of where he would usually look",26,Non-Hispanic,Female,White,0.5972222222222222,0.5972222222222222,d4b254ldwb
76,NA,NA,NA,NA,NA,survey-html-form,318,363387,0.0-293.0,22244,NA,"{""feedback"":""I just made educated guesses"",""age"":""30"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I just made educated guesses,30,Non-Hispanic,Female,White,0.6388888888888888,0.6388888888888888,d5tbvyq57z
77,NA,NA,NA,NA,NA,survey-html-form,318,891699,0.0-293.0,31028,NA,"{""feedback"":""IF I thought he could see it, I tried to quickly determine if he could or couldn't see 1 or 2 of the balls to rule some out "",""age"":""37"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IF I thought he could see it, I tried to quickly determine if he could or couldn't see 1 or 2 of the balls to rule some out",37,Non-Hispanic,Male,White,0.6180555555555556,0.6180555555555556,d8acqgzedu
78,NA,NA,NA,NA,NA,survey-html-form,318,301305,0.0-293.0,17200,NA,"{""feedback"":""No additional comments. Thanks!"",""age"":""53"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No additional comments. Thanks!,53,Non-Hispanic,Male,White,0.6180555555555556,0.6180555555555556,e16runqyy2
79,NA,NA,NA,NA,NA,survey-html-form,318,924783,0.0-293.0,105338,NA,"{""feedback"":""Influencing factors included which baskets Tom could see and how likely it was that Tom could see the ball, even if I could not."",""age"":""57"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influencing factors included which baskets Tom could see and how likely it was that Tom could see the ball, even if I could not.",57,Non-Hispanic,Male,White,0.6111111111111112,0.6111111111111112,e933qmtyl5
80,NA,NA,NA,NA,NA,survey-html-form,318,554513,0.0-293.0,76448,NA,"{""feedback"":""If it was visible to both of us, I knew he'd pick the basket with the ball. If he could see two empty baskets, I knew he'd pick the third. sometimes I just had to guess."",""age"":""54"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If it was visible to both of us, I knew he'd pick the basket with the ball. If he could see two empty baskets, I knew he'd pick the third. sometimes I just had to guess.",54,Non-Hispanic,Female,White,0.6666666666666666,0.6666666666666666,ecu7re5y35
81,NA,NA,NA,NA,NA,survey-html-form,318,695880,0.0-293.0,48426,NA,"{""feedback"":""I chose what felt right and if I knew for sure which basket he would pick."",""age"":""24"",""gender"":""Female"",""other_gender"":"""",""race"":""Multiracial"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I chose what felt right and if I knew for sure which basket he would pick.,24,Non-Hispanic,Female,Multiracial,0.6319444444444444,0.6319444444444444,ee95cyme2s
82,NA,NA,NA,NA,NA,survey-html-form,318,304635,0.0-293.0,7341,NA,"{""feedback"":"""",""age"":""34"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,Non-Hispanic,Male,White,0.6388888888888888,0.6388888888888888,egbl3t7d1r
83,NA,NA,NA,NA,NA,survey-html-form,318,650567,0.0-293.0,95032,NA,"{""feedback"":""Can Sam see the ball? Can he deduce which basket? Is there anything from Sam's perspective that would let him know where the red ball was?"",""age"":""18"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Can Sam see the ball? Can he deduce which basket? Is there anything from Sam's perspective that would let him know where the red ball was?,18,Non-Hispanic,Male,White,0.6666666666666666,0.6666666666666666,egpa8jvvup
84,NA,NA,NA,NA,NA,survey-html-form,318,734863,0.0-293.0,126913,NA,"{""feedback"":""I selected basked where both I and the character could see the ball in a basket. Where I could see the ball but he could not I just guessed. Where he could see the ball but I could not I just guessed."",""age"":""67"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I selected basked where both I and the character could see the ball in a basket. Where I could see the ball but he could not I just guessed. Where he could see the ball but I could not I just guessed.,67,Non-Hispanic,Male,White,0.5902777777777778,0.5902777777777778,eq6521xnmh
85,NA,NA,NA,NA,NA,survey-html-form,318,292236,0.0-293.0,52276,NA,"{""feedback"":""I looked at which baskets were visible by Sam and then whether or not I could see the ball put that info together and narrowed it down as much as possible."",""age"":""46"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I looked at which baskets were visible by Sam and then whether or not I could see the ball put that info together and narrowed it down as much as possible.,46,Non-Hispanic,Male,White,0.6805555555555556,0.6805555555555556,erbdtf8zht
86,NA,NA,NA,NA,NA,survey-html-form,318,543347,0.0-293.0,41991,NA,"{""feedback"":""I had to stay focus on the ones that were obvious and the rest is guessing"",""age"":""33"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I had to stay focus on the ones that were obvious and the rest is guessing,33,Hispanic,Female,White,0.6180555555555556,0.6180555555555556,evjvu1d958
87,NA,NA,NA,NA,NA,survey-html-form,318,402893,0.0-293.0,24741,NA,"{""feedback"":""I just used my best judgement."",""age"":""24"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I just used my best judgement.,24,Non-Hispanic,Female,Asian,0.5902777777777778,0.5902777777777778,f4mnmswkt3
88,NA,NA,NA,NA,NA,survey-html-form,318,624668,0.0-293.0,44922,NA,"{""feedback"":""Sometimes where i could see it and he couldnt sometimes just random"",""age"":""61"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes where i could see it and he couldnt sometimes just random,61,Non-Hispanic,Female,White,0.5902777777777778,0.5902777777777778,f8vttqh6za
89,NA,NA,NA,NA,NA,survey-html-form,318,527091,0.0-293.0,47192,NA,"{""feedback"":""what he could see vs what I could see, not too many times in a row in the same spot"",""age"":""54"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"what he could see vs what I could see, not too many times in a row in the same spot",54,Non-Hispanic,Female,White,0.6180555555555556,0.6180555555555556,fdm48s1qmg
90,NA,NA,NA,NA,NA,survey-html-form,345,604409,0.0-293.0,20648,NA,"{""feedback"":""Try to think what he would choose and not necessarily what I would choose."",""age"":""30"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Try to think what he would choose and not necessarily what I would choose.,30,Non-Hispanic,Male,White,0.5833333333333334,0.5833333333333334,fn8uokf3bl
91,NA,NA,NA,NA,NA,survey-html-form,318,640627,0.0-293.0,204382,NA,"{""feedback"":""Well, when it was obvious that Sam could see the ball or see if the ball is not there, I just pick that option to where Sam could obviously guess or see the ball. When it was not obvious, some were randoms/instinct when I nor Sam could not see the ball. If I could see the ball but Sam can't and also can't tell if the ball is there, I tried to pick the best estimated guess.   "",""age"":""31"",""gender"":""Male"",""other_gender"":"""",""race"":""other_race"",""other_race"":""Mexican/Honduran-American"",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Well, when it was obvious that Sam could see the ball or see if the ball is not there, I just pick that option to where Sam could obviously guess or see the ball. When it was not obvious, some were randoms/instinct when I nor Sam could not see the ball. If I could see the ball but Sam can't and also can't tell if the ball is there, I tried to pick the best estimated guess.",31,Hispanic,Male,Mexican/Honduran-American,0.625,0.625,fx7pdy7bga
92,NA,NA,NA,NA,NA,survey-html-form,318,1046848,0.0-293.0,111714,NA,"{""feedback"":""If Sam could see the ball then I definitely selected that option. Or if I could see that two of the baskets were empty I chose the third basket. "",""age"":""70"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,If Sam could see the ball then I definitely selected that option. Or if I could see that two of the baskets were empty I chose the third basket.,70,Non-Hispanic,Female,White,0.6527777777777778,0.6527777777777778,g049beue1l
93,NA,NA,NA,NA,NA,survey-html-form,318,686580,0.0-293.0,82307,NA,"{""feedback"":""Position of blinds and Sam's predilictions."",""age"":""57"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Position of blinds and Sam's predilictions.,57,Non-Hispanic,Male,White,0.625,0.625,g8p8m4kk8n
94,NA,NA,NA,NA,NA,survey-html-form,318,363671,0.0-293.0,220147,NA,"{""feedback"":""none"",""age"":""30"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,30,Non-Hispanic,Female,White,0.4097222222222222,0.4097222222222222,gr40funhyq
95,NA,NA,NA,NA,NA,survey-html-form,318,475542,0.0-293.0,70323,NA,"{""feedback"":""If the red ball wasnt visible I just took a lucky guess."",""age"":""32"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,If the red ball wasnt visible I just took a lucky guess.,32,Non-Hispanic,Male,White,0.6527777777777778,0.6527777777777778,grxlz7cyag
96,NA,NA,NA,NA,NA,survey-html-form,318,631877,0.0-293.0,20829,NA,"{""feedback"":"""",""age"":""65"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,Non-Hispanic,Female,White,0.6319444444444444,0.6319444444444444,h0ukz1cpno
97,NA,NA,NA,NA,NA,survey-html-form,318,437076,0.0-293.0,19752,NA,"{""feedback"":""merely guessing"",""age"":""59"",""gender"":""Female"",""other_gender"":"""",""race"":""American Indian/Alaska Native"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,merely guessing,59,Non-Hispanic,Female,American Indian/Alaska Native,0.6041666666666666,0.6041666666666666,h9o47fqt5n
98,NA,NA,NA,NA,NA,survey-html-form,318,470200,0.0-293.0,40680,NA,"{""feedback"":""I think it was kind of random what they selected when they couldn't know for sure,  so I kind of just followed my intuition and guessed."",""age"":""37"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I think it was kind of random what they selected when they couldn't know for sure,  so I kind of just followed my intuition and guessed.",37,Non-Hispanic,Male,White,0.6180555555555556,0.6180555555555556,hgy139n63q
99,NA,NA,NA,NA,NA,survey-html-form,318,604783,0.0-293.0,41819,NA,"{""feedback"":""try to understand the game."",""age"":""49"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,try to understand the game.,49,Non-Hispanic,Male,White,0.5069444444444444,0.5069444444444444,hha8rgjb0r
100,NA,NA,NA,NA,NA,survey-html-form,318,832348,0.0-293.0,113505,NA,"{""feedback"":""The factor was mainly my best guess as to which basket appeared, to Sam, to be the easiest choice or guess where the ball was located. "",""age"":""41"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The factor was mainly my best guess as to which basket appeared, to Sam, to be the easiest choice or guess where the ball was located.",41,Hispanic,Male,White,0.6180555555555556,0.6180555555555556,hqjavtszws
